Produit*_(sp.fk_product);Fournisseur*_(sp.fk_soc);Réf._produit_fournisseur_(sp.ref_fourn);Quantité minimum* (sp.quantity);Taux TVA (sp.tva_tx);Prix quantité min. HT* (sp.price);Prix unitaire HT* (sp.unitprice);Remise par défaut quantité min. (sp.remise_percent)
ZC435_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC435_REFLEKTOR-IP40+DimDSI;1;20; 182.00 ; 182.00 ;0
ZC435_REFLEKTOR-IP40+NZ;ELKOVO;ZC435_REFLEKTOR-IP40+NZ;1;20; 163.76 ; 163.76 ;0
ZC449_REFLEKTOR-IP40;ELKOVO;ZC449_REFLEKTOR-IP40;1;20; 125.76 ; 125.76 ;0
ZC449_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC449_REFLEKTOR-IP40+Dim1-10V;1;20; 163.48 ; 163.48 ;0
ZC449_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC449_REFLEKTOR-IP40+DimDALI;1;20; 173.08 ; 173.08 ;0
ZC449_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC449_REFLEKTOR-IP40+DimDSI;1;20; 182.00 ; 182.00 ;0
ZC449_REFLEKTOR-IP40+NZ;ELKOVO;ZC449_REFLEKTOR-IP40+NZ;1;20; 163.76 ; 163.76 ;0
ZC480_REFLEKTOR-IP40;ELKOVO;ZC480_REFLEKTOR-IP40;1;20; 146.88 ; 146.88 ;0
ZC480_REFLEKTOR-IP40+Dim1-10V;ELKOVO;ZC480_REFLEKTOR-IP40+Dim1-10V;1;20; 201.04 ; 201.04 ;0
ZC480_REFLEKTOR-IP40+DimDALI;ELKOVO;ZC480_REFLEKTOR-IP40+DimDALI;1;20; 204.48 ; 204.48 ;0
ZC480_REFLEKTOR-IP40+DimDSI;ELKOVO;ZC480_REFLEKTOR-IP40+DimDSI;1;20; 205.16 ; 205.16 ;0
ZC480_REFLEKTOR-IP40+NZ;ELKOVO;ZC480_REFLEKTOR-IP40+NZ;1;20; 184.88 ; 184.88 ;0
ZC228_REFLEKTOR-NARROW-IP40;ELKOVO;ZC228_REFLEKTOR-NARROW-IP40;1;20; 85.64 ; 85.64 ;0
ZC228_REFLEKTOR-NARROW-IP40+Dim1-10V;ELKOVO;ZC228_REFLEKTOR-NARROW-IP40+Dim1-10V;1;20; 104.48 ; 104.48 ;0
ZC228_REFLEKTOR-NARROW-IP40+DimDALI;ELKOVO;ZC228_REFLEKTOR-NARROW-IP40+DimDALI;1;20; 109.28 ; 109.28 ;0
ZC228_REFLEKTOR-NARROW-IP40+DimDSI;ELKOVO;ZC228_REFLEKTOR-NARROW-IP40+DimDSI;1;20; 113.76 ; 113.76 ;0
ZC228_REFLEKTOR-NARROW-IP40+NZ;ELKOVO;ZC228_REFLEKTOR-NARROW-IP40+NZ;1;20; 123.64 ; 123.64 ;0
ZC254_REFLEKTOR-NARROW-IP40;ELKOVO;ZC254_REFLEKTOR-NARROW-IP40;1;20; 85.64 ; 85.64 ;0
ZC254_REFLEKTOR-NARROW-IP40+Dim1-10V;ELKOVO;ZC254_REFLEKTOR-NARROW-IP40+Dim1-10V;1;20; 104.48 ; 104.48 ;0
ZC254_REFLEKTOR-NARROW-IP40+DimDALI;ELKOVO;ZC254_REFLEKTOR-NARROW-IP40+DimDALI;1;20; 109.28 ; 109.28 ;0
