Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
ZC449/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 475 x 1520 x 90; 173.08 ; 20.00 ;;;;;
ZC449/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 475 x 1520 x 90; 182.00 ; 20.00 ;;;;;
ZC449/REFLEKTOR-IP40+NZ;T5;1;T5 - 475 x 1520 x 90; 163.76 ; 20.00 ;;;;;
ZC480/REFLEKTOR-IP40;T5;1;T5 - 475 x 1520 x 90; 146.88 ; 20.00 ;;;;;
ZC480/REFLEKTOR-IP40+Dim1-10V;T5;1;T5 - 475 x 1520 x 90; 201.04 ; 20.00 ;;;;;
ZC480/REFLEKTOR-IP40+DimDALI;T5;1;T5 - 475 x 1520 x 90; 204.48 ; 20.00 ;;;;;
ZC480/REFLEKTOR-IP40+DimDSI;T5;1;T5 - 475 x 1520 x 90; 205.16 ; 20.00 ;;;;;
ZC480/REFLEKTOR-IP40+NZ;T5;1;T5 - 475 x 1520 x 90; 184.88 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW-IP40;T5;1;T5 - 350 x 1240 x 100; 85.64 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 350 x 1240 x 100; 104.48 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 350 x 1240 x 100; 109.28 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 350 x 1240 x 100; 113.76 ; 20.00 ;;;;;
ZC228/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 350 x 1240 x 100; 123.64 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW-IP40;T5;1;T5 - 350 x 1240 x 100; 85.64 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 350 x 1240 x 100; 104.48 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 350 x 1240 x 100; 109.28 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 350 x 1240 x 100; 113.76 ; 20.00 ;;;;;
ZC254/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 350 x 1240 x 100; 123.64 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW-IP40;T5;1;T5 - 350 x 1540 x 100; 98.68 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 350 x 1540 x 100; 117.52 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 350 x 1540 x 100; 122.32 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 350 x 1540 x 100; 126.80 ; 20.00 ;;;;;
ZC235/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 350 x 1540 x 100; 136.68 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW-IP40;T5;1;T5 - 350 x 1540 x 100; 98.68 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 350 x 1540 x 100; 117.52 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 350 x 1540 x 100; 122.32 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 350 x 1540 x 100; 126.80 ; 20.00 ;;;;;
ZC249/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 350 x 1540 x 100; 136.68 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW-IP40;T5;1;T5 - 350 x 1540 x 100; 106.16 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 350 x 1540 x 100; 133.24 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 350 x 1540 x 100; 134.96 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 350 x 1540 x 100; 135.32 ; 20.00 ;;;;;
ZC280/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 350 x 1540 x 100; 144.16 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW-IP40;T5;1;T5 - 625 x 1240 x 100; 130.08 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 625 x 1240 x 100; 167.80 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 625 x 1240 x 100; 177.40 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 625 x 1240 x 100; 186.32 ; 20.00 ;;;;;
ZC428/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 625 x 1240 x 100; 168.08 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW-IP40;T5;1;T5 - 625 x 1240 x 100; 130.08 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 625 x 1240 x 100; 167.80 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 625 x 1240 x 100; 177.40 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 625 x 1240 x 100; 186.32 ; 20.00 ;;;;;
ZC454/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 625 x 1240 x 100; 168.08 ; 20.00 ;;;;;
ZC435/REFLEKTOR-NARROW-IP40;T5;1;T5 - 625 x 1540 x 100; 144.08 ; 20.00 ;;;;;
ZC435/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 625 x 1540 x 100; 181.80 ; 20.00 ;;;;;
ZC435/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 625 x 1540 x 100; 191.40 ; 20.00 ;;;;;
ZC435/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 625 x 1540 x 100; 200.32 ; 20.00 ;;;;;
ZC435/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 625 x 1540 x 100; 182.08 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW-IP40;T5;1;T5 - 625 x 1540 x 100; 144.08 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 625 x 1540 x 100; 181.80 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 625 x 1540 x 100; 191.40 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW-IP40+DimDSI;T5;1;T5 - 625 x 1540 x 100; 200.32 ; 20.00 ;;;;;
ZC449/REFLEKTOR-NARROW-IP40+NZ;T5;1;T5 - 625 x 1540 x 100; 182.08 ; 20.00 ;;;;;
ZC480/REFLEKTOR-NARROW-IP40;T5;1;T5 - 625 x 1540 x 100; 165.20 ; 20.00 ;;;;;
ZC480/REFLEKTOR-NARROW-IP40+Dim1-10V;T5;1;T5 - 625 x 1540 x 100; 219.36 ; 20.00 ;;;;;
ZC480/REFLEKTOR-NARROW-IP40+DimDALI;T5;1;T5 - 625 x 1540 x 100; 222.80 ; 20.00 ;;;;;
