Référence;Label;En Vente;Description;Prix vente HT;taux TVA;poids;volume;Image;Code douanier;code_barre
19039;CONECTOR RGB;1;;3,00;20;;;;;8421776086173
20000;RETRO APLIQUE BEIGE E14 MAX 20W;1;;53,50;20;;;;;8421776060951
20001;RETRO APLIQUE VERDE E14 MAX 20W;1;;53,50;20;;;;;8421776060968
20002;RETRO APLIQUE ROJO E14 MAX 20W;1;;53,50;20;;;;;8421776060975
20003;RETRO SOBREMESA BEIGE E14 MAX 20W;1;;77,00;20;;;;;8421776061651
20004;RETRO SOBREMESA VERDE E14 MAX 20W;1;;77,00;20;;;;;8421776061668
20005;RETRO SOBREMESA ROJO E14 MAX 20W;1;;77,00;20;;;;;8421776061675
20006;RETRO PLAFON BEIGE 3xE14 MAX 20W;1;;197,50;20;;;;;8421776061682
20007;RETRO PLAFON VERDE 3xE14 MAX 20W;1;;197,50;20;;;;;8421776061866
20008;RETRO PLAFON ROJO 3xE14 MAX 20W;1;;197,50;20;;;;;8421776061873
20009;RETRO PIE DE SALON ROJO E14 40W;1;;159,90;20;;;;;8421776083721
20010;RETRO PLAFON BEIGE 5L E14 20W;1;;289,00;20;;;;;8421776083752
20011;RETRO PLAFON VERDE 5L E14 20W;1;;289,00;20;;;;;8421776083769
20012;RETRO PLAFON ROJO 5L E14 40W;1;;289,00;20;;;;;8421776083707
20016;RETRO COLGANTE BEIGE 1xE14 20W;1;;47,00;20;;;;;8421776082601
20017;RETRO COLGANTE VERDE 1xE14 20W;1;;47,00;20;;;;;8421776082618
20018;RETRO COLGANTE ROJO 1xE14 20W;1;;47,00;20;;;;;8421776082625
20019;RETRO PIE DE SALON BEIGE E14 40W;1;;159,90;20;;;;;8421776083714
20020;RETRO PIE DE SALON VERDE E14 40W;1;;159,90;20;;;;;8421776083868
20021;VOLTA APLIQUE BLANCO E27 20W 2700K;1;;68,50;20;;;;;8421776080836
20022;VOLTA APLIQUE NEGRO E27 20W 2700K;1;;68,50;20;;;;;8421776080843
20023;VOLTA APLIQUE BLANCO CON LECTOR LED 20W 2700K;1;;99,50;20;;;;;8421776080850
20024;VOLTA APLIQUE NEGRO CON LECTOR LED 20W 2700K;1;;99,50;20;;;;;8421776080928
20025;VOLTA SOBREMESA BLANCO E27 20W 2700K;1;;105,00;20;;;;;8421776081123
20026;VOLTA SOBREMESA NEGRO E27 20W 2700K;1;;105,00;20;;;;;8421776081130
20027;VOLTA COLGANTE BLANCO E27 20W 2700K;1;;136,80;20;;;;;8421776081147
20028;VOLTA COLGANTE NEGRO E27 20W 2700K;1;;136,80;20;;;;;8421776081154
20029;VOLTA PIE DE SALON BLANCO E27 20W 2700K;1;;249,50;20;;;;;8421776081161
20030;VOLTA PIE DE SALON NEGRO E27 E27 2700K;1;;249,50;20;;;;;8421776081185
28370;AKANE P SOBREMESA BEIGE E27 20W;1;;108,00;20;;;;;8421776062054
28371;AKANE G SOBREMESA BEIGE E27 20W;1;;199,00;20;;;;;8421776062061
28380;LULA P SOBREMESA BLANCA PANTALLA BLANCA E27 20W;1;;82,60;20;;;;;8421776060746
28381;LULA P SOBREMESA VERDE PANTALLA VERDE E27 20W;1;;82,60;20;;;;;8421776060753
28382;LULA P SOBREMESA NEGRA PANTALLA BEIGE E27 20W;1;;82,60;20;;;;;8421776060760
28383;LULA G SOBREMESA BLANCA PANTALLA BLANCA E27 20W;1;;98,25;20;;;;;8421776060807
28384;LULA G SOBREMESA VERDE PANTALLA VERDE E27 20W;1;;98,25;20;;;;;8421776060814
28385;LULA G SOBREMESA NEGRA PANTALLA BEIGE E27 20W;1;;98,25;20;;;;;8421776060821
28398;MAGMA-P 3L E27 60W BLANCO Y PLATA Ø70 CM;1;;561,90;20;;;;;8421776016415
28399;MAGMA-P 3L E27 60W BLANCO Y ORO Ø70 CMS;1;;561,90;20;;;;;8421776016422
28400;ALLY APLIQUE 1L GU10 35W MADERA;1;;61,90;20;;;;;8421776021860
28401;BLISS SOBREMESA MADERA 1L E27 60W BLANCO;1;;88,50;20;;;;;8421776021877
